"ETHNOLOGUE 16 ed                         "						
"Language Name"	"iso"	"Classification"	"No. of Speakers"	"Latitude"	"Longitude"	"Misc."
"Warji"	"wji"	51	77665	11.17	9.58	
"Boghom"	"bux"	41	50000	9.5	10.08	
"Kir-Balar"	"kkr"	61	3050	10.17	9.75	
"Mangas"	"zns"	61	100	10.08	9.75	
"Dass"	"dot"	51	8830	9.92	9.5	
"Jimi"	"jmi"	51	1000	10.75	9.83	
"Guruntum-Mbaa"	"grd"	51	15000	9.83	10.17	
"Ju"	"juu"	61	900	10.17	9.83	
"Tala"	"tak"	61	1000	10.23	9.87	
"Zangwal"	"zah"	61	100	10.23	9.77	
"Geji"	"gji"	51	6000	10.33	9.67	
"Polci"	"plj"	61	22000	10.13	9.5	
"Saya"	"say"	61	50000	9.67	9.75	
"Zari"	"zaz"	61	20746	9.78	9.38	
"Zeem"	"zua"	61	400	9.95	9.28	
"Luri"	"ldd"	31	2	10.08	9.58	
"A Neo-Aramaic"	"aii"	12	219330	36	41	"         (SEMITIC)"
"Bo"	"bhn"	7	1000			
"BJ"	"bjf"	7	20			
"C"	"cld"	7	216000	36	43	
"JB Aramaic"	"tmr"	7	-1100			
"Lishanid Nosh"	"aij"	7	2250	31.75	35	
"Hertevin"	"hrt"	7	1000	37.93	42.55	
"Hulaula"	"huy"	7	10350			
"Koy Sanjaq Su"	"kqd"	7	900	36.17	44.5	
"Lishana Deni"	"lsd"	7	7500			
"Senaya"	"syn"	7	460			
"Lishan Didan"	"trg"	7	4450	38	47	
"Mlasho"	"lhs"	6	-1998	38.47	40.63	
"Turoyo"	"tru"	7	84000	38.47	40.63	
"Mandaic"	"mid"	5	5500	31	48.5	
"Syriac"	"myz"	5	-1050			
"W Neo-Aramaic"	"amw"	41	15000	33.92	36.25	
"Sa Aramaic"	"sam"	5	-1050			
"St Arabic"	"arb"	31	0	25	42	1
"AS"	"aao"	5	130550	29	5	
"T"	"abh"	5	6000			
"B"	"abv"	5	310000	26	50.5	
"M"	"acm"	5	15100000	33	44	2
"TA"	"acq"	5	7078500	13.67	45.17	
"H"	"acw"	5	6023900	26	38	
"O"	"acx"	5	853900	23.25	58.5	2
"C"	"acy"	5	1300	35.25	33.5	
"D"	"adf"	5	70000	17	54.42	
"T"	"aeb"	5	9247800	36.75	10.25	
"S"	"aec"	5	19000000	27	31	
"G"	"afb"	5	3599000	26	49	
"SL"	"ajp"	5	6200000	32	35.25	
"JT"	"ajt"	5	352500			
"JM"	"aju"	5	258925	33.5	-7.5	
"NL"	"apc"	5	14426540	33.75	36	
"S"	"apd"	5	16833000	15.55	32.53	
"A"	"arq"	5	22937000	34.5	3	
"N"	"ars"	5	9977000	32.5	42	2
"M"	"ary"	5	21048900	34	-6	2
"E"	"arz"	5	46321000	30	31	
"U"	"auz"	5	700	40.17	65.17	
"EEB"	"avl"	5	1690000	27	33	
"H"	"ayh"	5	410000	15.75	48.75	
"L"	"ayl"	5	4321000	32	22	
"S"	"ayn"	5	7600000	16	44	
"NM"	"ayp"	5	6300000	34.5	44.5	
"JY"	"jye"	5	51000			
"C"	"shu"	5	1139000	13.83	20.83	
"S"	"ssh"	5	27000	26.17	56.17	
"JI"	"yhd"	5	100130			
"JT"	"yud"	5	35000			
"Hassaniya"	"mey"	5	3123190	20	-10	
"Maltese"	"mlt"	51	387270	35.92	14.42	
"A Hebrew"	"hbo"	41	-2	31.47	35.13	
"Hebrew"	"heb"	5	5316700	31.5	34.83	2
"Samaritan"	"smp"	5	-2			
"Geez"	"gez"	21	-2	14.12	38.72	1
"Tigrigna"	"tir"	51	5791710	14.5	38.5	
"Tigre"	"tig"	51	1050000	16.5	38.5	3
"Gafat"	"gft"	41	-1850	10.6	37	
"Kistane"	"gru"	71	254682	8.5	38.5	3
"Inor"	"ior"	61	280000	8	38	
"Mesqan"	"mvz"	7	25000	6.25	18.5	
"Mesmes"	"mys"	7	-2000	7.58	37.58	3
"SB Gurage"	"sgw"	7	2320000	8	37.5	3
"Amharic"	"amh"	51	17528500	10	38	3
"Argobba"	"agj"	7	10860	10.17	40.08	
"Silte"	"stv"	61	1000000	8	38	3
"Wolane"	"wle"	7	0	8	38	
"Harari"	"har"	7	21283	9.25	42.17	3
"Zay"	"zwa"	7	4880	7.93	38.83	
"Bathari"	"bhm"	31	200	18	56	
"Hobyot"	"hoh"	4	100	17.25	53	
"Harsusi"	"hss"	4	1500	20	56.5	
"Mehri"	"gdq"	4	135764	17	51.5	
"Shehri"	"shv"	4	25000	17.5	55	
"Soqotri"	"sqt"	4	64000	12.5	54	
"Xamtanga"	"xan"	12	143000	12.42	38.83	"  3      (CUSHITIC)"
"Bilen"	"byn"	31	91000	15.75	38.5	3
"Awngi"	"awn"	31	500000	10.83	36.67	3
"Qimant"	"ahg"	31	1650	12.67	37.42	3
"Boon"	"bnl"	22	59	3	45	
"Alaba-K"	"alw"	31	162000	7.42	38.17	3
"Kambaata"	"ktb"	4	570000	7.42	37.92	3
"Burji"	"bji"	41	46100	5.5	37.83	3
"Gedeo"	"drs"	41	637082	6.17	38.17	3
"Hadiyya"	"hdy"	41	923958	7.25	38	3
"Libido"	"liq"	4	36612	8	38.42	3
"Sidamo"	"sid"	41	2900000	6.67	38.33	3
"Dirasha"	"gdl"	31	90000	5.58	37.42	3
"Konso"	"kxc"	41	195000	5.42	37.58	3
"Bussa"	"dox"	31	6624	5.75	37.25	3
"Gawwada"	"gwd"	4	32698	5.5	37.25	3
"Tsamai"	"tsb"	41	8621	5.42	37.03	3
"BAG Oromo"	"gax"	31	3823600	4.5	38.5	3
"WC"	"gaz"	4	8922200	9	37	3
"E"	"hae"	4	4526000	8.5	41.67	3
"Orma"	"orc"	4	69000	-2	39.5	
"Waata"	"ssn"	4	17400	-3.33	39.83	
"Aweer"	"bob"	31	8000	-1.75	40.75	
"Rendille"	"rel"	41	34700	2	37.5	3
"Dabarre"	"dbr"	31	23000	1.5	43	
"Garre"	"gex"	41	57500	2.25	44.67	
"Somali"	"som"	41	13871700	3	45	3
"Jiddu"	"jii"	4	23000	2	44.17	
"Maay"	"ymm"	4	1860000	4	44	
"Tunni"	"tqq"	4	23000	2.25	44.33	
"Afar"	"aar"	31	1078200	12	42	3
"Saho"	"ssy"	4	213300	14.75	39.75	3
"Arbore"	"arv"	31	4441	5	36.75	3
"Baiso"	"bsw"	41	1010	6.25	37.75	3
"Daasanach"	"dsh"	41	40100	4.67	36.33	3
"El Molo"	"elo"	41	8	2.75	36.75	
"Yaaku"	"muu"	31	50	0.5	37	
"Bedawiyet"	"bej"	22	1186000	18	36	3
"Aasax"	"aas"	22	350	0.55	37.17	
"Burunge"	"bds"	31	13000	-5.33	36	3
"Dahalo"	"dal"	31	400	-2.33	40.5	
"Iraqw"	"irk"	31	462000	-4	35.5	
"Gorowa"	"gow"	3	50000	-4.5	36.5	
"Alagwa"	"wbj"	31	30000	-5.5	35.75	
"Kwadza"	"wka"	31	-1988	-6.2	36.1	
"Coptic"	"cop"	12	-1650	26	32	"         (EGYPTIAN)"
"Dizi"	"mdx"	12	21100	6.17	36.5	"  3      (OMOTIC)"
"Nayi"	"noz"	41	3660	6.92	36.33	3
"Sheko"	"she"	41	40000	7	35.25	3
"Yemsa"	"jnj"	31	81600	7.83	37.33	3
"Chara"	"cra"	51	6932	6.67	36.42	3
"Bench"	"bcq"	61	174000	7	35.75	3
"Wolaytta"	"wal"	61	1231673	6.83	37.75	3
"Dorze"	"doz"	8	20782	6.25	37.58	3
"Gamo-Gofa-Daw"	"gmo"	8	1236637	6.75	37.08	3
"Melo"	"mfx"	8	20151	6.58	36.83	
"Oyda"	"oyd"	8	16597	6.08	36.83	3
"Kachama-Ganju"	"kcx"	71	4070	5.92	37.42	3
"Koorete"	"kqy"	81	104000	5.83	37.83	3
"Zaysete"	"zay"	81	17800	5.92	37.33	3
"Male"	"mdy"	71	53800	6	36.92	3
"Basketo"	"bst"	71	57805	6.42	36.58	3
"Anfillo"	"myo"	41	500	8.67	34.5	3
"Borna"	"bwo"	51	19900	10.42	36.17	3
"Kafa"	"kbr"	51	570000	7.25	36.25	3
"Shekkacho"	"moy"	61	54900	7.58	35.5	3
"Bambassi"	"myf"	31	5000	9.92	34.5	3
"Ganza"	"gza"	41	5400	10.25	35.17	3
"Hozo"	"hoz"	51	3000	9.42	34.5	
"Seze"	"sze"	5	3000	9.58	34.67	
"Aari"	"aiw"	22	155000	6	36.58	3
"Gayil"	"gyl"	3	55700	6.2	36.58	
"Hamer-Banna"	"amf"	31	42800	5	36.5	3
"Karo"	"kxh"	3	1000	5.25	36.17	3
"Dime"	"dim"	31	6500	6.17	36.25	3
"Ongota"	"bxe"	12	19	5.33	37.33	"  3      (On)"
"G Albanian"	"aln"	3	4156090	41.33	20.83	"         INDO-EUROPEAN (ALBANIAN)"
"Arb A"	"aae"	2	80000			
"Arv A"	"aat"	3	50000	38.25	23.25	
"T A"	"als"	3	3035000	41	20	2
"Armenian"	"hye"	12	6376520	40	45	"  2      (Ar)"
"Latvian"	"lav"	12	1504880	57	24	"         (BALTIC)"
"Lithuanian"	"lit"	31	3154180	55	24	
"Prussian"	"prg"	21	-1700	55	21	
"Breton"	"bre"	12	500045	48	-3	"  1      (CELTIC)"
"Cornish"	"cor"	31	-1777	50.33	-5	
"Welsh"	"cym"	31	537870	52	-3	1
"I Gaelic"	"gle"	21	391470	53	-8	1
"S G"	"gla"	31	66780	57	-4	1
"Manx"	"glv"	31	-1974	54.17	-4.5	1
"Gothic"	"got"	12	-1750	43.22	25.62	"         (GERMANIC)"
"Norwegian"	"nor"	21	4640000	61	8	2
"Danish"	"dan"	5	5581690	56	10	2
"Jutish"	"jut"	5	0			
"Swedish"	"swe"	4	8311739	60	15	
"Faroese"	"fao"	3	48260	62	-7	
"Icelandic"	"isl"	4	238050	65	-17	2
"English"	"eng"	21	328008138	52	0	2
"Scots"	"sco"	4	200000	56	-4	2
"W Frisian"	"fry"	31	467000	53	6	
"N"	"frr"	4	10000	54.5	9	
"Saterfries"	"stq"	4	5000			
"S German"	"deu"	3	90294110	52	10	
"L Silesian"	"sli"	7	22900			
"U Saxon"	"sxu"	7	2000000	51.33	12.48	
"Wymysorys"	"wym"	7	70			
"Frankish"	"frk"	6	-1			
"Luxemburgish"	"ltz"	7	320830	49.83	6.17	2
"Mainfrankisc"	"vmf"	8	4910000			
"Pfaelzisch"	"pfl"	7	0			
"Limburgisch"	"lim"	8	1300000	51	5.5	
"Kolsch"	"ksh"	7	250000	51	7	
"Penn G"	"pdc"	7	98700			
"CT G"	"gct"	5	0			
"Swiss G"	"gsw"	7	6469000	47.42	8.5	
"Swabian"	"swg"	7	819000	48.97	9.28	
"Walser"	"wae"	7	22780	46.75	9.25	
"Bavarian"	"bar"	6	13259000	49	11.5	2
"Cimbrian"	"cim"	7	2230	45.92	11.32	
"Hutterisch"	"geh"	7	45000			
"Mocheno"	"mhn"	7	1900			
"E Yiddish"	"ydd"	4	1762320	52	23	2
"W"	"yih"	5	5400			
"Dutch"	"nld"	3	21730290	52.5	6	3
"Afrikaans"	"afr"	5	4934950	-31	22	
"Vlaams"	"vls"	5	6141560	51.04	2.38	3
"Zeeuws"	"zea"	5	220000	51.5	3.75	
"Gronings"	"gos"	4	592000			
"Plautdietsch"	"pdt"	5	402909	53	10	2
"Low Saxon"	"nds"	5	1000	53	10	
"Stellingwerf"	"stl"	5	0	52.92	6.17	
"Westphalian"	"wep"	5	0	52	7.5	
"E Frisian"	"frs"	4	6370	53.58	7.5	
"Greek"	"ell"	12	13084490	39	22	"  2      (GREEK)"
"C G"	"cpg"	3	-1965			
"A G"	"grc"	3	-2	39	22	
"Pontic"	"pnt"	3	324535	37.92	23.67	
"Yevanic"	"yej"	3	50			
"Tsakonian"	"tsd"	21	1200	37.17	22.67	
"Domaaki"	"dmk"	12	500	36.17	74	"         (INDIC)"
"Bhili"	"bhb"	31	1300000	22	73	
"Bauria"	"bge"	5	247872			
"P Bareli"	"bfb"	5	175000			
"R B"	"bgd"	5	63700			
"P B"	"bpx"	5	10000			
"Bhilali"	"bhi"	5	1150000			
"Chodri"	"cdi"	5	282000			
"Dhodia"	"dho"	5	152000			
"Dubli"	"dub"	5	252000			
"Dungra Bhil"	"duh"	5	100000			
"A Garasia"	"gas"	5	100000			
"R"	"gra"	5	100000			
"Gamit"	"gbl"	5	400000			
"Mawchi"	"mke"	5	80000	21.33	73.67	
"Noiri"	"noi"	5	100000			
"Pardhi"	"pcl"	5	120000			
"Rathawi"	"rtw"	5	451000			
"Wagdi"	"wbr"	5	1710000			3
"Nahali"	"nlx"	5	15000			
"Domari"	"rmt"	41	3952810	32	35	
"Gujarati"	"guj"	41	46493990	23	72	
"Aer"	"aeq"	5	150			
"K Koli"	"gik"	5	570000			
"P"	"kvx"	5	250000			
"W"	"kxp"	5	578575			
"Jandavra"	"jnd"	5	5000			
"Saurashtra"	"saz"	5	310000			
"Vasavi"	"vas"	5	1200000	24.5	71.5	
"Vaghri"	"vgr"	5	10000			
"Khandesi"	"khn"	41	1579000			
"Ahirani"	"ahr"	5	779000			
"Dhanki"	"dhn"	5	163000			
"E Panjabi"	"pan"	41	28163600	31	74	
"Dhundari"	"dhd"	41	9000000			3
"Godwari"	"gdx"	6	3000000			
"Goaria"	"gig"	6	25426			
"Loarki"	"lrk"	6	20000			
"Mewari"	"mtr"	6	2000000			3
"Dhatki"	"mki"	6	148263			
"Marwari"	"mve"	6	220000			
"Marwari"	"rwr"	6	5622600			
"Shekhawati"	"swv"	6	3000000	28	75.5	
"Merwari"	"wry"	6	3900000			
"Bagri"	"bgq"	5	2099100	29.58	74.33	3
"G Lohar"	"gda"	5	1009			
"Gurgula"	"ggg"	5	35314			
"Gujari"	"gju"	5	992315	32.75	76.25	
"Hardothi"	"hoj"	5	4730000			3
"Lambadi"	"lmn"	5	6000000	17	77	3
"Malvi"	"mup"	5	10400000			3
"Nimadi"	"noe"	5	1430000			
"B Romani"	"rmn"	41	709570	42.67	21.17	
"C"	"rmc"	5	472470	48	24	
"KF"	"rmf"	6	11590	61.2	21.93	
"S"	"rmo"	6	318920	47.5	16.5	
"W"	"rmw"	6	0	52	-4	
"B"	"rml"	6	58465	55	19	
"V"	"rmy"	5	885970	47	21.5	
"Bundeli"	"bns"	41	644000			
"Hindi"	"hin"	5	181676620	25	77	3
"Urdu"	"urd"	6	60586800	25	67	
"Kabutra"	"kbu"	6	1000			
"Sansi"	"ssi"	7	76200			
"Braj Basha"	"bra"	5	44000			
"Haryanvi"	"bgc"	5	13000000			
"Bhaya"	"bhe"	5	400			
"Kanauji"	"bjj"	5	8500000			
"Chamari"	"cdg"	5	406000			
"Ghera"	"ghr"	5	10000			
"Gowli"	"gok"	5	35000			
"Mewati"	"wtm"	4	5000000			
"Parya"	"paq"	41	4250	38.42	68.5	
"Sonha"	"soi"	41	14700			
"D Tharu"	"thl"	4	674000	28	82	3
"K"	"tkt"	4	106000			
"Powari"	"pwr"	41	214000			
"Awadhi"	"awa"	31	38261000	27.5	81.5	
"Bagheli"	"bfy"	4	7760000			
"Dhanwar"	"dha"	4	104195			
"F Hindustani"	"hif"	4	380000			3
"Chhattisgarhi"	"hne"	4	17500000			
"Assamese"	"asm"	31	16818750	26	93	
"Bengali"	"ben"	5	181272900	24	90	
"Bishnupriya"	"bpy"	5	115000			
"Chakma"	"ccp"	5	550000	22	92	
"Chittagonian"	"ctg"	5	13000000	22.33	91.83	
"Hajong"	"haj"	5	68000	25.52	90.22	
"Halbi"	"hlb"	5	500000	21	81	3
"Kurmukar"	"kfv"	5	3000			
"Kharia Thar"	"ksy"	5	25000			
"Kayort"	"kyv"	5	22000			
"Mal Paharia"	"mkb"	5	61000			
"Mirgan"	"zrg"	5	60000			
"Rajbanhsi"	"rjs"	5	130000			3
"Rangpuri"	"rkt"	5	15000000			
"Rohingya"	"rhg"	5	1500000			
"Sylheti"	"syl"	5	10300000			
"Tangchangya"	"tnv"	5	21600			
"Lodhi"	"lbm"	51	25000			
"Angika"	"anp"	41	740892			
"Bhojpuri"	"bho"	5	38546000	26	84	
"C Hindustani"	"hns"	5	165633			
"Kudmali"	"kyw"	5	37000			
"Magahi"	"mag"	5	13000000	23.5	85.5	
"Majhi"	"mjz"	5	42200			
"Maithili"	"mai"	5	34700000	26	86	3
"Sadri"	"sck"	5	1970000	19.42	83.56	
"O S"	"sdr"	5	165683			
"Surjapuri"	"sjp"	5	273000			
"Musasa"	"smm"	5	50000			
"Panchpargania"	"tdb"	5	274000			
"Oriya"	"ori"	41	31732500	21	85	
"A O"	"ort"	5	152370	18.33	83	
"Desiya"	"dso"	5	50000			
"Bodo Parja"	"bdv"	5	50000			
"Bhatri"	"bgw"	5	600000			
"Bhunjia"	"bhu"	5	6790			
"Kupia"	"key"	5	6600			
"Reli"	"rei"	5	19000			
"Bote-Majhi"	"bmj"	41	11000			
"Degaru"	"dgu"	41	10089			
"C Tharu"	"the"	41	228000	27.5	84.5	
"K"	"thq"	4	258211	26.6	85.7	
"R"	"thr"	4	486000	28.8	80.35	
"Buksa"	"tkb"	4	43000			
"Kumauni"	"kfy"	31	2360000	30	80	
"Jumli"	"jml"	41	40000			
"Nepali"	"nep"	5	13875700	28	85	
"Palpa"	"plp"	5	7562			
"Garhwali"	"gbm"	41	2920000	30.07	79	3
"M Pahari"	"bfz"	41	1000000			3
"K"	"kfx"	5	109000			
"P-Potwari"	"phr"	5	49440			
"Bhadrawahi"	"bhd"	5	53000			
"Bhattiyali"	"bht"	5	102252			3
"Chambeali"	"cdh"	5	129654			3
"Churahi"	"cdj"	5	110552			3
"Dogri"	"dgo"	5	2105000	33	75	3
"Gaddi"	"gbk"	5	110000			3
"Hinduri"	"hii"	5	29700			
"Jaunsari"	"jns"	5	100000			
"Bilaspuri"	"kfs"	5	295387			3
"H Kinnauri"	"kjo"	5	6331			
"Mandeali"	"mjl"	5	900000			3
"Pangwali"	"pgg"	5	17000			
"Sirmauri"	"srx"	5	400000			
"Kangri"	"xnr"	5	1700000			
"Khowar"	"khw"	31	242200	36	72	3
"Kalasha"	"kls"	61	5029	35	72	3
"Kashmiri"	"kas"	51	5640940	34	76	2
"Bateri"	"btv"	51	29051			
"Chilisso"	"clh"	61	2300			
"Gowro"	"gwf"	6	200			
"I Kohistani"	"mvy"	6	220000	35.62	72.35	
"Kalami"	"gwc"	61	40000	35.5	72.5	
"Tirahi"	"tra"	61	100			
"Torwali"	"trw"	61	60000	34.25	72	
"Wotapuri-Kata"	"wsv"	61	-1975			
"Kalkoti"	"xka"	61	4000	35.5	72.5	
"Dameli"	"dml"	51	5000	35.36	71.72	
"Gawar-Bati"	"gwt"	61	9500	35.3	71.56	
"Grangali"	"nli"	61	5000			
"NE Pashayi"	"aee"	61	54412			
"SE"	"psi"	7	54412			
"NW"	"glh"	7	0			
"SW"	"psh"	7	0			
"Shumashti"	"sts"	61	1000			
"Phalura"	"phl"	51	10000	35.5	71.83	
"Savi"	"sdg"	6	3000	35	71.5	
"Shina"	"scl"	61	321000	36	74	
"Kohistani S"	"plk"	6	200000			
"Brokskat"	"bkk"	6	10000	35.33	76.5	
"Ushojo"	"ush"	61	500	35.15	72.75	3
"S Hindko"	"hnd"	41	625000	33.88	72.08	
"N"	"hno"	5	1875000	34.33	73.2	
"Jakati"	"jat"	5	30615			
"M Panjabi"	"pmu"	5	1042000			
"W"	"pnb"	5	62648000	30.87	72.28	
"Khetrani"	"xhe"	5	4000			
"Saraiki"	"skr"	5	13863106	34	71.41	
"Jadgali"	"jdg"	41	100000			
"Kachchi"	"kfr"	5	866000			
"Lasi"	"lss"	5	15000			
"Sindhi Bhil"	"sbn"	5	56502			
"Sindhi"	"snd"	5	21362000	26	69	
"Ashkun"	"ask"	31	1200			
"Kati"	"bsh"	41	19400	35.5	70	
"Kamviri"	"xvi"	4	6000	35.33	71.6	
"Prasuni"	"prn"	41	1000	35.5	71	
"Waigali"	"wbk"	41	1500	35	71.25	
"Tregami"	"trm"	4	1000			
"Sinhala"	"sin"	31	15568750	7	80.5	3
"Maldivian"	"div"	41	371000	4.17	73.5	
"Veddah"	"ved"	41	300	7	81	
"Kukna"	"kex"	31	400000	20.75	73.5	
"Katkari"	"kfu"	5	12000			
"Konkani"	"knn"	5	4004490	15.25	74	
"G"	"gom"	5	3633900			
"Phudagi"	"phd"	5	1009			
"Samvedi"	"smv"	5	0			
"Varli"	"vav"	5	600000			
"Marathi"	"mar"	4	68061130	19	76	3
"Bhalay"	"bhx"	4	8670			
"Deccan"	"dcc"	4	12800000			
"Gowlan"	"goj"	4	20179			
"Varhadi-Nagpu"	"vah"	4	6970000			
"Andh"	"anr"	31	100000			
"Chinali"	"cih"	31	750	32	77	
"Dhanwar"	"dhw"	31	31849			
"Darai"	"dry"	31	10210	24	84	
"Kanjari"	"kft"	31	91200			
"Kumhali"	"kra"	31	6533			
"L Lohar"	"lhl"	31	750			
"Memoni"	"mby"	31	0			
"Od"	"odk"	31	50000			
"Vaagri Booli"	"vaa"	31	9300			
"Pali"	"pli"	31	-2	22.57	88.37	
"Sanskrit"	"san"	31	-2	28.7	77.2	
"Avestan"	"ave"	22	-2	33.17	44.97	"         (IRANIAN)"
"Osetin"	"oss"	31	641450	43	44	
"Yagnobi"	"yai"	51	12000	39	69	
"Munji"	"mnj"	41	3768	38.39	71.11	
"Sanglechi-Ish"	"sgl"	61	1500	37	72	
"Sarikoli"	"srh"	61	16000			3
"Shughni"	"sgh"	7	60000	38.17	71.5	
"Yazgulyam"	"yah"	71	4000	38.5	71.5	
"Wakhi"	"wbl"	61	31666	36.5	72	3
"Yidhga"	"ydg"	61	6145	36.32	71.7	
"S Pashto"	"pbt"	51	2674367	31	67	
"N"	"pbu"	6	9720700	34	71	
"C"	"pst"	6	7922657	32.5	70	
"Waneci"	"wne"	61	95000	30.1	67.94	
"S Balochi"	"bcc"	31	3400300	23.58	57.17	
"W"	"bgn"	6	1799842	37.83	62.17	
"E"	"bgp"	6	1805000	28	62	
"Bashkardi"	"bsg"	6	7033			
"Koroshi"	"ktl"	6	180			
"Gilaki"	"glk"	51	3265000	37.33	50	
"Mazanderani"	"mzn"	6	3265000	36.5	52	
"Shahmirzadi"	"srz"	6	0			
"Ashtiani"	"atn"	51	21099			
"NW Fars"	"faz"	61	7500			
"Z Dari"	"gbz"	6	11500			
"Gazi"	"gzi"	6	7033			
"Khunsari"	"kfm"	6	21099			
"Nantazi"	"ntz"	6	7033			
"Nayini"	"nyq"	6	7033			
"Parsi-Dari"	"prd"	6	700000			
"Parsi"	"prp"	6	326341			
"Sivandi"	"siy"	6	7033			
"Soi"	"soj"	6	7033			
"Vafsi"	"vaf"	6	18000	34.67	49.92	
"Khalaj"	"kjf"	51	42107			
"C Kurdish"	"ckb"	51	3712000	36	44	
"N"	"kmr"	6	9320240	38	42	
"S"	"sdh"	6	3000000			
"Laki"	"lki"	6	1000000			
"Ormuri"	"oru"	51	1050	32.5	69.75	
"Parachi"	"prc"	61	600			
"Lasgerdi"	"lsa"	51	1000			
"Sangisari"	"sgr"	6	36000			
"Semnani"	"smy"	6	60000			
"Sorkhei"	"sqo"	6	10000			
"Talysh"	"tly"	51	914550	38.75	48.67	
"Alviri-Vidari"	"avd"	6	0			
"Eshtehardi"	"esh"	6	0	35.72	50.37	
"Gozarkhani"	"goz"	6	0			
"Harzani"	"hrz"	6	28132			
"Karingani"	"kgn"	6	17583			
"Koresh-e Rost"	"okh"	6	0			
"Razajerdi"	"rat"	6	0			
"Rudbari"	"rdb"	6	0			
"Shahrudi"	"shm"	6	0	37	48	
"U Taromi"	"tov"	6	0			
"Takestani"	"tks"	6	220000	36	49.67	
"Maraghei"	"vmh"	6	0			
"Khoini"	"xkc"	6	0			
"Kalaji"	"xkj"	6	0			
"Kabatei"	"xkp"	6	0	36.75	49.42	
"Dezfuli"	"def"	51	0			
"Bajelani"	"bjm"	51	20000			
"Dimli"	"diq"	6	2000000	39	41	
"Gurani"	"hac"	6	44047	35.75	45.5	
"Kirmanjki"	"kiu"	6	140000	39.1	39.3	3
"Shabak"	"sdb"	6	15000			
"Sarli"	"sdf"	6	20000			
"SW Fars"	"fay"	41	7500			
"Lari"	"lrl"	61	80000			
"N Luri"	"lrc"	51	1500000	33.5	48.5	
"S"	"luz"	6	875000			3
"Bakhtiari"	"bqi"	6	1000000			
"Kumzari"	"zum"	61	1700	26.33	56.42	
"Judeo-Tat"	"jdt"	51	97020	42.07	48.28	
"Muslim Tat"	"ttt"	6	28300	41	48.5	
"W Farsi"	"pes"	51	23879300	32	54	3
"E"	"prs"	6	7600000	35	66	
"Aimaq"	"aiq"	6	650000			
"Bukharic"	"bhh"	6	110000			
"Dehwari"	"deh"	6	13000			
"Dzhidi"	"jpr"	6	60000			
"Hazaragi"	"haz"	6	2209794			
"Tajiki"	"tgk"	6	4457500	38.67	70	
"Pahlavani"	"phv"	6	2100			
"Darwazi"	"drw"	6	10000			
"Tangshewi"	"tnf"	31	10000			
"Luwati"	"luv"	31	5000	23.58	58.5	
"Latin"	"lat"	12	-2	41.9	12.45	"         (ITALIC)"
"Romanian"	"ron"	21	23351080	46	25	2
"I R"	"ruo"	4	560			
"Aromanian"	"rup"	4	123300	39.67	21.33	
"Me R"	"ruq"	4	5000	41.17	22.92	
"Dalmatian"	"dlm"	31	-1880			
"Istriot"	"ist"	51	1000			
"Italian"	"ita"	51	61696677	43	12	2
"Judaeo-I"	"itk"	5	200			
"Napolitano-Ca"	"nap"	5	7047399	40.92	14.25	
"Sicilian"	"scn"	5	4832520	37.5	14	
"Emiliano-Roma"	"eml"	41	2020112	44.83	11	2
"Ligurian"	"lij"	8	1925100	44.42	8.95	
"Lombard"	"lmo"	8	9133855			
"Piemontese"	"pms"	8	3106620	45	7.67	
"Venetian"	"vec"	8	6230000			
"French"	"fra"	71	67838450	48	2	2
"Cajun F"	"frc"	10	17200	30	-92.5	
"Picard"	"pcd"	10	0	50	3	
"Walloon"	"wln"	10	1120000			
"Zarphatic"	"zrp"	10	-1			
"Franco-Proven"	"frp"	9	147000	45.77	4.83	
"Friulian"	"fur"	8	794000	46	13	
"Ladin"	"lld"	9	30000	46.58	11.92	
"Romansch"	"roh"	9	35100	46.67	8.83	
"Catalan-Va-Ba"	"cat"	61	11530160	41.75	2	
"Occitan"	"oci"	7	2048310	44	2	
"Shaudit"	"sdt"	8	-1977			
"Spanish"	"spa"	7	328518810	40	-4	2
"Loreto-Uca S"	"spq"	8	2800			
"Estremaduran"	"ext"	8	201500	39	-6	2
"Ladino"	"lad"	8	110310	40	33	
"Asturian"	"ast"	7	125039	43.25	-6	
"Miranda Douro"	"mwl"	8	15000	41.5	-6.33	
"Portuguese"	"por"	7	177457180	39	-8	2
"Fala"	"fax"	8	10500	40.17	-6.92	
"Galician"	"glg"	8	3188400	43	-8	
"Aragonese"	"arg"	51	11000	42.5	0.17	
"Mozarabic"	"mxi"	6	-2			
"Corsican"	"cos"	31	402000	42	9	
"C Sardinian"	"sro"	4	345180	39.5	8.78	
"G"	"sdn"	5	100000	41	9.22	
"L"	"src"	5	500000	40.58	8.67	
"S"	"sdc"	5	100000	40.72	8.55	
"Russian"	"rus"	12	143553950	56	38	"  2      (SLAVIC)"
"Rusyn"	"rue"	3	623960	48.83	22.58	
"Belarusan"	"bel"	3	8618630	54	28	
"Ukrainian"	"ukr"	3	37029730	49	33	
"Bulgarian"	"bul"	21	9097220	42.5	25	2
"Macedonian"	"mkd"	4	2113170	41.67	21.75	
"Old Ch Sl"	"chu"	4	-2	40.63	22.95	
"Bosnian"	"bos"	3	2203800	43	18	2
"Croatian"	"hrv"	4	5546590	46	16	2
"Slovenian"	"slv"	4	1909050	46	15	2
"Serbian"	"srp"	4	7020550	45	20	2
